date,co,no,no2,o3,so2,pm2_5,pm10,nh3,Net_AQI
28-11-2020 15:00,0.230425314,0.066070145,0.303041592,0.00024966,0.094608236,0.194563333,0.209580226,0.179587865,491.86
28-11-2020 16:00,0.169063779,0.004354078,0.25198317,0.010485713,0.078840196,0.160500159,0.170022406,0.147895889,434.08
28-11-2020 17:00,0.156280086,0.001438044,0.215935487,0.016290304,0.069703087,0.155070567,0.163878743,0.139104146,424.87
28-11-2020 18:00,0.137104785,0.001138452,0.188894246,0.017638468,0.052281667,0.139636612,0.14572399,0.111790666,398.9946512
28-11-2020 19:00,0.105145792,0.000339538,0.148332384,0.025228127,0.032354067,0.111958072,0.114084896,0.072175696,362.9632558
28-11-2020 20:00,0.083413562,7.99E-05,0.113796731,0.032593092,0.024052351,0.09446665,0.09415508,0.051499461,340.1932558
28-11-2020 21:00,0.070629868,5.99E-05,0.094271815,0.03571384,0.020327892,0.085464492,0.0840009,0.037842722,328.4744186
28-11-2020 22:00,0.062320444,3.99E-05,0.078494105,0.038834588,0.018657106,0.078779197,0.076465834,0.028182229,319.7716279
28-11-2020 23:00,0.055928358,3.99E-05,0.069487663,0.039733363,0.018256814,0.074575832,0.07170846,0.021127984,314.2997674
29-11-2020 00:00,0.050814977,5.99E-05,0.066485515,0.041518431,0.019074802,0.072312028,0.069386043,0.017618237,311.3527907
29-11-2020 01:00,0.055928358,0.000299593,0.083008283,0.035264452,0.026541126,0.078390105,0.076215177,0.021996734,319.2651163
29-11-2020 02:00,0.078299701,0.007090357,0.128807468,0.012495475,0.043979951,0.096689187,0.097428972,0.038294471,343.0865116
29-11-2020 03:00,0.103867088,0.042402333,0.139325941,0.011609182,0.060565979,0.113944796,0.117333211,0.056329708,365.5495349
29-11-2020 04:00,0.123042867,0.07054406,0.142328089,0.026788501,0.078840196,0.128482662,0.133508282,0.078361191,384.4746512
29-11-2020 05:00,0.138383011,0.069645282,0.164855152,0.05044377,0.10372794,0.145602679,0.151391916,0.100357925,408.81
29-11-2020 06:00,0.138383011,0.047315651,0.18137792,0.097317405,0.133610637,0.156432387,0.160666237,0.102130173,427.18
29-11-2020 07:00,0.055928358,0.013721339,0.088245606,0.176784132,0.121984754,0.082788016,0.081744984,0.039163221,324.9902326
29-11-2020 08:00,0.042505552,0.009147559,0.068720691,0.200002497,0.107052108,0.071598694,0.070209631,0.030371477,310.424186
29-11-2020 09:00,0.041227326,0.007469841,0.07097778,0.212497972,0.112029656,0.070396048,0.069160963,0.032143726,308.8586047
29-11-2020 10:00,0.09747548,0.021870256,0.18137792,0.13393002,0.125308921,0.103633877,0.108355586,0.08009869,352.1269767
29-11-2020 11:00,0.184403923,0.063393784,0.32107639,0.038834588,0.138588186,0.155088253,0.167771605,0.137331897,424.9
29-11-2020 12:00,0.261106082,0.166074139,0.375158873,0.001984796,0.16347593,0.191627463,0.209963885,0.198943601,486.88
29-11-2020 13:00,0.33013745,0.264280578,0.387167463,0,0.209962059,0.231473949,0.255025935,0.292247281,164.8056795
29-11-2020 14:00,0.376158841,0.303567149,0.381163168,0,0.239827352,0.275028592,0.30473282,0.37324947,198.22
29-11-2020 15:00,0.386385604,0.299992011,0.336087128,0,0.229872255,0.302406471,0.336126372,0.397887202,179.3472559
29-11-2020 16:00,0.386385604,0.292861708,0.285028707,0,0.209962059,0.322267813,0.355278639,0.383813462,179.3472559
29-11-2020 17:00,0.391498985,0.292861708,0.25198317,0,0.209962059,0.342565409,0.374799218,0.390832957,180.6691949
29-11-2020 18:00,0.381272222,0.285711432,0.230946224,0,0.196682794,0.338633228,0.367571079,0.366195225,178.0253169
29-11-2020 19:00,0.335250831,0.253575138,0.206929044,0,0.155174214,0.299523658,0.320299152,0.281683289,166.1276185
29-11-2020 20:00,0.286672989,0.21606615,0.179887803,0,0.120331372,0.26649806,0.280209324,0.197171352,153.5690124
29-11-2020 21:00,0.248322389,0.17677958,0.157338826,0,0.09293745,0.240263875,0.249347779,0.135559648,143.6544081
29-11-2020 22:00,0.212528239,0.13749301,0.145330236,0,0.073027255,0.215621426,0.222256325,0.102998923,427.6152174
29-11-2020 23:00,0.184403923,0.108033075,0.142328089,0,0.057259215,0.191698207,0.196755778,0.084511937,487
30-11-2020 00:00,0.161393467,0.094651274,0.142328089,0,0.045633332,0.172013724,0.175910295,0.0668937,453.61
30-11-2020 01:00,0.151166704,0.092853719,0.145330236,0,0.054770441,0.157576079,0.161044781,0.087152935,429.12
30-11-2020 02:00,0.199744546,0.160721419,0.154336679,2.50E-05,0.081328971,0.192600191,0.20098626,0.126767905,488.53
30-11-2020 03:00,0.25343577,0.25,0.154336679,0.001847483,0.10372794,0.225160058,0.237336689,0.163741877,469.9126087
30-11-2020 04:00,0.266219463,0.25,0.18288995,0.008925339,0.123638136,0.232717862,0.245286107,0.188379609,492.2091304
30-11-2020 05:00,0.268775915,0.180354718,0.260989613,0.029022956,0.148543284,0.24904201,0.261297484,0.204225597,148.942164
30-11-2020 06:00,0.2559927,0.086602221,0.327080685,0.091962202,0.171777646,0.264375744,0.273109072,0.18660736,173.54
30-11-2020 07:00,0.082134857,0.016297835,0.133321646,0.2053577,0.160169167,0.108839447,0.10806912,0.072175696,358.9034884
30-11-2020 08:00,0.059124401,0.009367261,0.091269667,0.235716336,0.138588186,0.090552156,0.08826719,0.052368211,335.0974419
30-11-2020 09:00,0.05401102,0.006810737,0.0844984,0.249996879,0.136917401,0.086643557,0.083806513,0.049310213,330.0093023
30-11-2020 10:00,0.114094329,0.017416314,0.209931192,0.167858792,0.150196665,0.123825357,0.12726231,0.098585676,378.4118605
30-11-2020 11:00,0.217641621,0.055364704,0.387167463,0.04910809,0.158498381,0.185602443,0.198505264,0.156687632,476.66
30-11-2020 12:00,0.307126994,0.171426859,0.441249945,0.002259422,0.160169167,0.230583755,0.250406679,0.200715849,225.64
30-11-2020 13:00,0.386385604,0.285711432,0.429219442,0,0.176755195,0.277952672,0.304379853,0.264099802,220.15
30-11-2020 14:00,0.432406516,0.314292562,0.387167463,0,0.178425981,0.325309799,0.359770009,0.313375265,191.2448306
30-11-2020 15:00,0.432406516,0.292861708,0.33308498,0,0.160169167,0.354644925,0.393798021,0.316919762,191.2448306
30-11-2020 16:00,0.432406516,0.267855716,0.291033002,0,0.138588186,0.380065556,0.418715407,0.257045557,191.2448306
30-11-2020 17:00,0.437519897,0.271430854,0.254985318,0,0.126962303,0.407661561,0.446461639,0.198943601,192.5667696
30-11-2020 18:00,0.406839609,0.257150276,0.215935487,0,0.098750392,0.387682313,0.424357755,0.130277652,184.6351356
30-11-2020 19:00,0.325024068,0.212491012,0.18288995,0,0.063890146,0.321625223,0.349886948,0.069534698,163.4837405
30-11-2020 20:00,0.263662533,0.166074139,0.154336679,0,0.051446274,0.273436855,0.291872564,0.050630712,147.620225
30-11-2020 21:00,0.225311933,0.133937845,0.131809616,0,0.047286714,0.244313961,0.25659638,0.045348716,137.7056207
30-11-2020 22:00,0.197187616,0.110709435,0.116798878,0,0.045633332,0.22327945,0.231678995,0.042255968,454.043913
30-11-2020 23:00,0.17673409,0.091974914,0.107792435,0,0.042309165,0.20618891,0.210654471,0.037425722,396.0775949
01-12-2020 00:00,0.161393467,0.083027083,0.103278257,0,0.042309165,0.192334901,0.193865545,0.036522223,488.08
01-12-2020 01:00,0.156280086,0.086602221,0.110794583,0,0.054770441,0.186810984,0.187169414,0.047989714,478.71
01-12-2020 02:00,0.204857928,0.153571143,0.125805321,1.25E-05,0.081328971,0.221658236,0.226931852,0.074816694,440.7291304
01-12-2020 03:00,0.25343577,0.239294559,0.133321646,0.001173401,0.102074559,0.251429616,0.25990608,0.096848177,144.976347
01-12-2020 04:00,0.261106082,0.239294559,0.167857299,0.007140271,0.120331372,0.261038992,0.269671485,0.117976162,146.9593174
01-12-2020 05:00,0.266219463,0.180354718,0.248981023,0.025228127,0.145219117,0.279756641,0.28734027,0.151405636,148.2812564
01-12-2020 06:00,0.266219463,0.089278581,0.330082833,0.08482193,0.173431028,0.305554573,0.30877403,0.151405636,174.91
01-12-2020 07:00,0.102588862,0.014060877,0.149844414,0.249996879,0.203313725,0.172113945,0.164507944,0.065156201,453.78
01-12-2020 08:00,0.078299701,0.007809379,0.10027611,0.289280855,0.16347593,0.143450886,0.135973932,0.051047712,405.16
01-12-2020 09:00,0.071908094,0.005133019,0.083753342,0.310714152,0.146889902,0.13447231,0.126878651,0.050630712,392.2718605
01-12-2020 10:00,0.135826081,0.014060877,0.221939782,0.201787564,0.150196665,0.177826512,0.176166068,0.102998923,463.47
01-12-2020 11:00,0.240652077,0.042861708,0.411206557,0.056697749,0.156845,0.247184983,0.253491299,0.16019738,211.93
01-12-2020 12:00,0.335250831,0.158923864,0.465267125,0.001772585,0.168453479,0.295320293,0.308600104,0.21301734,236.6
01-12-2020 13:00,0.422179753,0.27858113,0.465267125,0,0.198336176,0.349775388,0.370630122,0.292247281,236.6
01-12-2020 14:00,0.473314047,0.299992011,0.45926283,0,0.195012009,0.40591065,0.435535026,0.338047746,233.86
01-12-2020 15:00,0.468200665,0.260705441,0.423215147,0,0.160169167,0.436743188,0.471813838,0.30635577,217.41
01-12-2020 16:00,0.447747139,0.214288568,0.381163168,0,0.13028647,0.453438742,0.487242053,0.21301734,198.22
01-12-2020 17:00,0.437519897,0.201785572,0.336087128,0,0.115353824,0.474207963,0.506210163,0.154915384,192.5667696
01-12-2020 18:00,0.401725748,0.185707438,0.291033002,0,0.091284068,0.459552191,0.48681747,0.102998923,183.3130729
01-12-2020 19:00,0.33013745,0.146420868,0.242976728,0,0.061401371,0.41065049,0.42627605,0.058101956,164.8056795
01-12-2020 20:00,0.279003156,0.110709435,0.203904983,0,0.049775488,0.379788476,0.384728318,0.044028217,151.5861658
01-12-2020 21:00,0.248322389,0.091974914,0.164855152,0,0.044797939,0.361548348,0.359371004,0.038746221,143.6544081
01-12-2020 22:00,0.222755002,0.076795558,0.136323794,0,0.040238087,0.345312629,0.338612484,0.034784724,137.0445893
01-12-2020 23:00,0.202300998,0.066070145,0.118288995,0,0.035678235,0.329831512,0.31898448,0.029050978,131.7567096
02-12-2020 00:00,0.189517783,0.059818647,0.113796731,1.25E-05,0.034842842,0.3150991,0.30047676,0.028182229,128.451924
02-12-2020 01:00,0.186960853,0.065171367,0.119801026,1.25E-05,0.046468725,0.304074847,0.288762367,0.040935469,127.7908926
02-12-2020 02:00,0.225311933,0.123212431,0.133321646,2.50E-05,0.068049706,0.323600156,0.313567212,0.061611704,137.7056207
02-12-2020 03:00,0.248322389,0.173224415,0.146842267,0.001497959,0.078840196,0.32514473,0.318247854,0.072175696,143.6544081
02-12-2020 04:00,0.202300998,0.090177359,0.203904983,0.020085134,0.088795294,0.279591572,0.27207575,0.077457692,131.7567096
02-12-2020 05:00,0.189517783,0.057142286,0.212933339,0.059818497,0.105381322,0.273672668,0.26646921,0.097716927,128.451924
02-12-2020 06:00,0.169063779,0.030358712,0.194898541,0.130359885,0.123638136,0.262471555,0.253905651,0.098585676,123.1640443
02-12-2020 07:00,0.071908094,0.005692259,0.067230574,0.271430176,0.120331372,0.156962966,0.145406832,0.04048372,428.08
02-12-2020 08:00,0.055289245,0.003854758,0.046193628,0.278570448,0.100403773,0.125770813,0.116013423,0.036973972,380.9444186
02-12-2020 09:00,0.049536751,0.003315491,0.045448569,0.271430176,0.095426224,0.1095292,0.101209294,0.03961497,359.8013953
02-12-2020 10:00,0.066794713,0.005073101,0.094271815,0.228576065,0.105381322,0.113243253,0.107879848,0.059874205,364.6362791
02-12-2020 11:00,0.100031932,0.005472557,0.18288995,0.151780699,0.112029656,0.127285911,0.125712327,0.085380686,382.9167442
02-12-2020 12:00,0.129434474,0.001138452,0.276022264,0.066958769,0.110376275,0.136441347,0.137989421,0.10650867,394.8351163
02-12-2020 13:00,0.156280086,0.00281617,0.324078538,0.015179318,0.110376275,0.151509792,0.155857708,0.130277652,418.83
02-12-2020 14:00,0.163950397,0.004913318,0.297037297,0.009037686,0.107052108,0.165228208,0.172534095,0.153177885,442.1
02-12-2020 15:00,0.156280086,0.001917392,0.254985318,0.016078094,0.093772843,0.165464021,0.173920383,0.158459881,442.5
02-12-2020 16:00,0.148609774,0.000898778,0.221939782,0.020309828,0.080493578,0.160187707,0.169357396,0.154915384,433.55
02-12-2020 17:00,0.146053323,0.001697691,0.209931192,0.015404012,0.071356469,0.158837678,0.168206419,0.142613893,431.26
02-12-2020 18:00,0.13326963,0.002197012,0.191896393,0.012720169,0.056423823,0.146775848,0.154215647,0.101226674,410.8
02-12-2020 19:00,0.106424018,0.000858832,0.157338826,0.01852476,0.039420098,0.124521005,0.127809664,0.058970706,379.3174419
02-12-2020 20:00,0.088526943,0.000259647,0.124315204,0.025889725,0.033607157,0.114062703,0.114719213,0.04048372,365.7030233
02-12-2020 21:00,0.079578406,0.00013981,0.104768374,0.029459861,0.032354067,0.114198295,0.113092498,0.030371477,365.8795349
02-12-2020 22:00,0.07574325,0.000159783,0.092759784,0.029022956,0.032354067,0.119893177,0.117220671,0.024429232,373.2930233
02-12-2020 23:00,0.074465024,0.000439402,0.089757637,0.022768977,0.032354067,0.128801009,0.124863162,0.021788234,384.8890698
03-12-2020 00:00,0.077021476,0.002796197,0.095761932,0.011384489,0.035260538,0.141847358,0.136950984,0.021996734,402.44
03-12-2020 01:00,0.09747548,0.027003276,0.103278257,0.001110986,0.048122107,0.166088925,0.162195758,0.032560726,443.56
03-12-2020 02:00,0.144774618,0.099105217,0.106280405,1.25E-05,0.073027255,0.207002464,0.207733546,0.054592209,388.9220253
03-12-2020 03:00,0.184403923,0.173224415,0.1122847,0.001061054,0.094608236,0.235818801,0.239664221,0.069534698,476.4408696
03-12-2020 04:00,0.181847472,0.183929855,0.118288995,0.005529965,0.113683038,0.23442161,0.238467205,0.078361191,473.0834783
03-12-2020 05:00,0.199744546,0.187504993,0.157338826,0.013731291,0.143565735,0.25142372,0.257491585,0.110053167,131.095802
03-12-2020 06:00,0.222755002,0.149996005,0.248981023,0.034827547,0.19003446,0.287621001,0.292189722,0.128540154,137.9
03-12-2020 07:00,0.093640325,0.02724295,0.170859447,0.148210563,0.263061715,0.188343768,0.180688131,0.039163221,481.31
03-12-2020 08:00,0.079578406,0.014739954,0.142328089,0.203572632,0.243151519,0.176411635,0.1679353,0.033012475,461.07
03-12-2020 09:00,0.082134857,0.011384517,0.149844414,0.228576065,0.259754951,0.173823588,0.16591981,0.036105223,456.68
03-12-2020 10:00,0.158837016,0.026783574,0.303041592,0.135715088,0.266385882,0.226781272,0.224686167,0.101226674,434.4304348
03-12-2020 11:00,0.276446226,0.087500999,0.471293334,0.028573569,0.266385882,0.315228797,0.319762029,0.183097613,239.35
03-12-2020 12:00,0.381272222,0.235719422,0.519349608,0.001048571,0.309547844,0.382995531,0.393332515,0.281683289,261.28
03-12-2020 13:00,0.468200665,0.360709435,0.507341018,0,0.382575098,0.449500666,0.46437085,0.404941446,255.8
